building_id,building_type,height,num_floors,latitude,longitude,vulnerability,seismic_zone,seismic_hazard,population_exposure,risk_score,risk_level,distance_km,duration_min,accessibility,risk_zone
B000001,unknown,,,17.4028415,78.4194116,50,Zone II,20,20,35.0,Moderate,1.2,4.5,90.0,Moderate Risk Zone
B000002,unknown,,,17.4029222,78.4193502,50,Zone II,20,20,35.0,Moderate,3.8,12.0,55.0,Moderate Risk Zone
B000003,unknown,,,17.402836,78.419493,50,Zone II,20,20,35.0,Moderate,0.7,2.5,100.0,Moderate Risk Zone
B000004,unknown,,,17.4028558,78.4194122,50,Zone II,20,20,35.0,Moderate,6.2,18.0,30.0,Moderate Risk Zone
B000005,unknown,,,17.4028268,78.4193956,50,Zone II,20,20,35.0,Moderate,2.5,8.0,80.0,Moderate Risk Zone
B000006,unknown,,,17.4029191,78.4195755,50,Zone II,20,20,35.0,Moderate,4.5,15.0,55.0,Moderate Risk Zone
B000007,unknown,,,17.4028053,78.4197136,50,Zone II,20,20,35.0,Moderate,1.0,3.5,100.0,Moderate Risk Zone
B000008,unknown,,,17.4026998,78.4198685,50,Zone II,20,20,35.0,Moderate,5.8,20.0,30.0,Moderate Risk Zone
B000009,unknown,,,17.4028177,78.4198675,50,Zone II,20,20,35.0,Moderate,2.0,6.5,80.0,Moderate Risk Zone
B000010,unknown,,,17.4028015,78.4197923,50,Zone II,20,20,35.0,Moderate,0.5,2.0,100.0,Moderate Risk Zone
B000011,unknown,,,17.4030308,78.4195677,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000012,unknown,,,17.4032279,78.4197956,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000013,unknown,,,17.4032832,78.4198533,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000014,unknown,,,17.4034156,78.4198054,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000015,unknown,,,17.4034625,78.4197525,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000016,unknown,,,17.4035998,78.4199173,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000017,unknown,,,17.4036659,78.4199059,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000018,unknown,,,17.4036672,78.4196046,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000019,unknown,,,17.4037063,78.419464,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000020,unknown,,,17.4035895,78.4195778,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000021,unknown,,,17.4033577,78.4195035,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000022,unknown,,,17.4034649,78.4194401,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000023,unknown,,,17.4033984,78.4193536,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000024,unknown,,,17.4034877,78.4194327,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000025,unknown,,,17.4035956,78.419329,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000026,unknown,,,17.4037969,78.4194264,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000027,unknown,,,17.4039814,78.4195421,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000028,unknown,,,17.4041274,78.4194812,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000029,unknown,,,17.404058,78.4195188,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000030,unknown,,,17.4044315,78.4195579,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000031,unknown,,,17.4044532,78.419397,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000032,unknown,,,17.4047537,78.4194025,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000033,unknown,,,17.4047457,78.4194775,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
